id,name_en,name_zh,category_id,cost,fling_power,fling_effect_id,description
82,fire-stone,火之石,10,3000,30.0,,"能让某些特定宝可梦
进化的神奇石头。
看上去是橙黄色的。"
83,thunder-stone,雷之石,10,3000,30.0,,"能让某些特定宝可梦
进化的神奇石头。
有着闪电般的花纹。"
84,water-stone,水之石,10,3000,30.0,,"能让某些特定宝可梦
进化的神奇石头。
看上去是澄蓝色的。"
85,leaf-stone,叶之石,10,3000,30.0,,"能让某些特定宝可梦
进化的神奇石头。
有着叶子般的花纹。"
86,tiny-mushroom,小蘑菇,24,500,30.0,,"珍稀的小蘑菇。
在一些爱好者中
有着相当高的人气。"
87,big-mushroom,大蘑菇,24,5000,30.0,,"珍稀的大蘑菇。
在一些爱好者中
有着非常高的人气。"
88,pearl,珍珠,24,2000,30.0,,"散发着美丽银辉
且有点小的珍珠。
可以在商店低价出售。"
89,big-pearl,大珍珠,24,8000,30.0,,"散发着美丽银辉
且相当大颗的珍珠。
可以在商店高价出售。"
90,stardust,星星沙子,24,3000,30.0,,"手感细腻且十分
美丽的红色沙子。
可以在商店低价出售。"
91,star-piece,星星碎片,24,12000,30.0,,"闪着红光且十分
美丽的宝石碎片。
可以在商店高价出售。"
92,nugget,金珠,24,10000,30.0,,"闪着金光，
以纯金制成的珠子。
可以在商店高价出售。"
93,heart-scale,心之鳞片,9,100,30.0,,"有着美丽心形外形
且非常珍稀的鳞片。
有些人收到会很高兴。"
94,honey,甜甜蜜,35,900,30.0,,"宝可梦采集的清甜芬芳的花蜜。
可在商店里廉价出售。"
95,growth-mulch,速速肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
96,damp-mulch,湿湿肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
97,stable-mulch,久久肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
98,gooey-mulch,粘粘肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
99,root-fossil,根状化石,35,7000,100.0,,"很久以前栖息在海里的
古代宝可梦的化石。
好像是根的一部分。"
100,claw-fossil,爪子化石,35,7000,100.0,,"很久以前栖息在海里的
古代宝可梦的化石。
好像是爪子的一部分。"
101,helix-fossil,贝壳化石,35,7000,100.0,,"很久以前栖息在海里的
古代宝可梦的化石。
好像是贝壳的一部分。"
102,dome-fossil,甲壳化石,35,7000,100.0,,"很久以前栖息在海里的
古代宝可梦的化石。
好像是甲壳的一部分。"
103,old-amber,秘密琥珀,35,10000,100.0,,"封存着古代宝可梦
遗传基因的琥珀，
透着点红色。"
104,armor-fossil,盾甲化石,35,7000,100.0,,"很久以前生活在地上的
古代宝可梦的化石。
好像是领饰的一部分。"
105,skull-fossil,头盖化石,35,7000,100.0,,"很久以前生活在地上的
古代宝可梦的化石。
好像是头部的一部分。"
106,rare-bone,贵重骨头,24,5000,100.0,,"在宝可梦考古学上
非常贵重的骨头。
可以在商店高价出售。"
107,shiny-stone,光之石,10,3000,80.0,,"能让某些特定宝可梦
进化的神奇石头。
像光芒一样耀眼。"
108,dusk-stone,暗之石,10,3000,80.0,,"能让某些特定宝可梦
进化的神奇石头。
像黑夜一般漆黑。"
109,dawn-stone,觉醒之石,10,3000,80.0,,"能让某些特定宝可梦
进化的神奇石头。
像眼眸一般光彩动人。"
110,oval-stone,浑圆之石,10,2000,80.0,,"能让某些特定宝可梦
进化的神奇石头。
像珠子一般圆润。"
111,odd-keystone,楔石,35,2100,80.0,,"没有它，石之塔就会
崩塌的重要石头。
有时能从石头里听到声音。"
112,adamant-orb,金刚宝珠,18,0,60.0,,"让帝牙卢卡携带的话，
龙和钢属性的招式威力就会提高。
散发着光辉的宝珠。"
113,lustrous-orb,白玉宝珠,18,0,60.0,,"让帕路奇亚携带的话，
龙和水属性的招式威力就会提高。
散发着美丽光辉的宝珠。"
114,grass-mail,,25,50,,,
115,flame-mail,,25,50,,,
116,bubble-mail,,25,50,,,
117,bloom-mail,,25,50,,,
118,tunnel-mail,,25,50,,,
119,steel-mail,,25,50,,,
120,heart-mail,,25,50,,,
121,snow-mail,,25,50,,,
122,space-mail,,25,50,,,
123,air-mail,,25,50,,,
124,mosaic-mail,,25,50,,,
125,brick-mail,,25,50,,,
126,cheri-berry,樱子果,3,80,10.0,3.0,"让宝可梦携带后，
可以治愈麻痹。"
127,chesto-berry,零余果,3,80,10.0,3.0,"让宝可梦携带后，
可以治愈睡眠。"
128,pecha-berry,桃桃果,3,80,10.0,3.0,"让宝可梦携带后，
可以治愈中毒。"
129,rawst-berry,莓莓果,3,80,10.0,3.0,"让宝可梦携带后，
可以治愈灼伤。"
130,aspear-berry,利木果,3,80,10.0,3.0,"让宝可梦携带后，
可以治愈冰冻。"
131,leppa-berry,苹野果,3,80,10.0,3.0,"让宝可梦携带后，
可以回复１０ＰＰ。"
132,oran-berry,橙橙果,3,80,10.0,3.0,"让宝可梦携带后，
可以回复１０ＨＰ。"
133,persim-berry,柿仔果,3,80,10.0,3.0,"让宝可梦携带后，
可以治愈混乱。"
134,lum-berry,木子果,3,80,10.0,3.0,"让宝可梦携带后，
可以治愈所有异常状态。"
135,sitrus-berry,文柚果,3,80,10.0,3.0,"让宝可梦携带后，
可以回复少量ＨＰ。"
136,figy-berry,勿花果,6,80,10.0,3.0,"让宝可梦携带后，
危机时可以回复ＨＰ。
如果讨厌这味道就会混乱。"
137,wiki-berry,异奇果,6,80,10.0,3.0,"让宝可梦携带后，
危机时可以回复ＨＰ。
如果讨厌这味道就会混乱。"
138,mago-berry,芒芒果,6,80,10.0,3.0,"让宝可梦携带后，
危机时可以回复ＨＰ。
如果讨厌这味道就会混乱。"
139,aguav-berry,乐芭果,6,80,10.0,3.0,"让宝可梦携带后，
危机时可以回复ＨＰ。
如果讨厌这味道就会混乱。"
140,iapapa-berry,芭亚果,6,80,10.0,3.0,"让宝可梦携带后，
危机时可以回复ＨＰ。
如果讨厌这味道就会混乱。"
141,razz-berry,蔓莓果,8,200,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨帅气。
红色的果实尝起来是辣的。"
142,bluk-berry,墨莓果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨美丽。
蓝色的果实尝起来是涩的。"
143,nanab-berry,蕉香果,8,200,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨可爱。
粉红色的果实尝起来是甜的。"
144,wepear-berry,西梨果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨聪明。
绿色的果实尝起来是苦的。"
145,pinap-berry,凰梨果,8,200,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨强壮。
黄色的果实尝起来是酸的。"
146,pomeg-berry,榴石果,2,80,10.0,,"如果把它交给宝可梦，
宝可梦就会变得非常容易和训练家亲密，
但ＨＰ的基础点数会降低。"
147,kelpsy-berry,藻根果,2,80,10.0,,"如果把它交给宝可梦，
宝可梦就会变得非常容易和训练家亲密，
但攻击的基础点数会降低。"
148,qualot-berry,比巴果,2,80,10.0,,"如果把它交给宝可梦，
宝可梦就会变得非常容易和训练家亲密，
但防御的基础点数会降低。"
149,hondew-berry,哈密果,2,80,10.0,,"如果把它交给宝可梦，
宝可梦就会变得非常容易和训练家亲密，
但特攻的基础点数会降低。"
150,grepa-berry,萄葡果,2,80,10.0,,"如果把它交给宝可梦，
宝可梦就会变得非常容易和训练家亲密，
但特防的基础点数会降低。"
151,tamato-berry,茄番果,2,80,10.0,,"如果把它交给宝可梦，
宝可梦就会变得非常容易和训练家亲密，
但速度的基础点数会降低。"
152,cornn-berry,玉黍果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨美丽。
在其他地区很少见的树果。"
153,magost-berry,岳竹果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨可爱。
在其他地区很少见的树果。"
154,rabuta-berry,茸丹果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨聪明。
在其他地区很少见的树果。"
155,nomel-berry,檬柠果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨强壮。
在其他地区很少见的树果。"
156,spelon-berry,刺角果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨可爱。
在其他地区很少见的树果。"
157,pamtre-berry,椰木果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨美丽。
在其他地区很少见的树果。"
158,watmel-berry,瓜西果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨聪明。
在其他地区很少见的树果。"
159,durin-berry,金枕果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨聪明。
在其他地区很少见的树果。"
160,belue-berry,靛莓果,8,20,10.0,,"用于制作宝可方块，
制作出来的宝可方块可用来打磨美丽。
在其他地区很少见的树果。"
161,occa-berry,巧可果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的火属性招式
攻击时，能令其威力减弱。"
162,passho-berry,千香果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的水属性招式
攻击时，能令其威力减弱。"
163,wacan-berry,烛木果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的电属性招式
攻击时，能令其威力减弱。"
164,rindo-berry,罗子果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的草属性招式
攻击时，能令其威力减弱。"
165,yache-berry,番荔果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的冰属性招式
攻击时，能令其威力减弱。"
166,chople-berry,莲蒲果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的格斗属性招式
攻击时，能令其威力减弱。"
167,kebia-berry,通通果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的毒属性招式
攻击时，能令其威力减弱。"
168,shuca-berry,腰木果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的地面属性招式
攻击时，能令其威力减弱。"
169,coba-berry,棱瓜果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的飞行属性招式
攻击时，能令其威力减弱。"
170,payapa-berry,福禄果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的超能力属性招式
攻击时，能令其威力减弱。"
171,tanga-berry,扁樱果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的虫属性招式
攻击时，能令其威力减弱。"
172,charti-berry,草蚕果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的岩石属性招式
攻击时，能令其威力减弱。"
173,kasib-berry,佛柑果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的幽灵属性招式
攻击时，能令其威力减弱。"
174,haban-berry,莓榴果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的龙属性招式
攻击时，能令其威力减弱。"
175,colbur-berry,刺耳果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的恶属性招式
攻击时，能令其威力减弱。"
176,babiri-berry,霹霹果,7,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的钢属性招式
攻击时，能令其威力减弱。"
177,chilan-berry,灯浆果,7,80,10.0,,"让宝可梦携带后，
在受到一般属性招式攻击时，
能令其威力减弱。"
178,liechi-berry,枝荔果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
自己的攻击就会提高。"
179,ganlon-berry,龙睛果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
自己的防御就会提高。"
180,salac-berry,沙鳞果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
自己的速度就会提高。"
181,petaya-berry,龙火果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
自己的特攻就会提高。"
182,apicot-berry,杏仔果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
自己的特防就会提高。"
183,lansat-berry,兰萨果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
攻击会变得容易击中要害。"
184,starf-berry,星桃果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
某一项能力就会大幅提高。"
185,enigma-berry,谜芝果,4,80,10.0,,"让宝可梦携带后，
在受到效果绝佳的招式攻击时，
可以回复ＨＰ。"
186,micle-berry,奇秘果,5,80,10.0,3.0,"让宝可梦携带后，危机时，
招式的命中率仅会提高１次。"
187,custap-berry,释陀果,5,80,10.0,,"让宝可梦携带后，危机时，
行动仅会变快１次。"
188,jaboca-berry,嘉珍果,4,80,10.0,,"让宝可梦携带后，
在受到物理招式攻击时，
能给予对手伤害。"
189,rowap-berry,雾莲果,4,80,10.0,,"让宝可梦携带后，
在受到特殊招式攻击时，
能给予对手伤害。"
190,bright-powder,光粉,12,4000,10.0,,"闪闪发光的粉末。
携带后，光芒会迷惑对手，
从而使其招式变得不容易命中。"
191,white-herb,白色香草,12,4000,10.0,4.0,"当携带它的宝可梦能力降低时，
仅能回到之前的状态１次。"
192,macho-brace,强制锻炼器,14,3000,60.0,,"又硬又重的锻炼器。
虽然携带后速度会降低，
但会比平时更容易茁壮成长。"
193,exp-share,学习装置,16,0,,,"打开开关后，
能让同行的所有宝可梦
获得经验值的装置。"
194,quick-claw,先制之爪,12,4000,80.0,,"又轻又尖锐的爪子。
携带后，有时能比对手
先一步行动。"
195,soothe-bell,安抚之铃,16,4000,10.0,,"音色悦耳的铃铛。
让携带它的宝可梦清心怡神，
变得容易和训练家亲密。"
196,mental-herb,心灵香草,12,4000,10.0,4.0,"当携带它的宝可梦
无法自由使出招式时，
仅会回复１次。"
197,choice-band,讲究头带,13,4000,10.0,,"有点讲究的头带。
虽然携带后攻击会提高，
但只能使出相同的招式。"
198,kings-rock,王者之证,12,5000,30.0,7.0,"携带后进行攻击，
在造成伤害时，
有时会让对手畏缩。"
199,silver-powder,银粉,19,1000,10.0,,"散发着银色光辉的粉末。
携带后，虫属性的
招式威力就会提高。"
200,amulet-coin,护符金币,16,10000,30.0,,"只要携带它的宝可梦
在战斗时出场一次，
就能获得２倍金钱。"
201,cleanse-tag,洁净之符,16,5000,30.0,,"让排在最前面的宝可梦携带后，
野生宝可梦就会不容易出现。"
202,soul-dew,心之水滴,18,0,30.0,,"让拉帝欧斯或拉帝亚斯携带后，
超能力和龙属性的招式威力
就会提高的神奇珠子。"
203,deep-sea-tooth,深海之牙,18,2000,90.0,,"让珍珠贝携带后，
特攻就会提高的牙齿。
散发着闪亮的银光。"
204,deep-sea-scale,深海鳞片,18,2000,30.0,,"让珍珠贝携带后，
特防就会提高的鳞片。
散发着淡淡的粉红色光芒。"
205,smoke-ball,烟雾球,12,4000,30.0,,"携带它的宝可梦在和
野生宝可梦的战斗中
绝对可以逃走。"
206,everstone,不变之石,16,3000,30.0,,"携带后，宝可梦在此期间
不会进化的神奇石头。"
207,focus-band,气势头带,12,4000,10.0,,"携带后，即便受到
可能会导致濒死的招式，
有时也能仅以１ＨＰ撑过去。"
208,lucky-egg,幸运蛋,16,10000,30.0,,"满载着幸福的蛋。
携带它的宝可梦获得的
经验值会少量增加。"
209,scope-lens,焦点镜,12,4000,30.0,,"能看见弱点的镜片。
携带它的宝可梦的招式
会变得容易击中要害。"
210,metal-coat,金属膜,19,2000,30.0,,"特殊的金属膜。
携带后，钢属性的
招式威力就会提高。"
211,leftovers,吃剩的东西,12,4000,10.0,,"携带后，宝可梦的ＨＰ
会在战斗期间缓缓回复。"
212,dragon-scale,龙之鳞片,10,2000,30.0,,"又硬又坚固的鳞片。
龙属性宝可梦有时会携带它。"
213,light-ball,电气球,18,1000,30.0,5.0,"让皮卡丘携带后，
攻击和特攻的威力
就会提高的神奇之球。"
214,soft-sand,柔软沙子,19,1000,10.0,,"手感细腻的沙子。
携带后，地面属性的
招式威力就会提高。"
215,hard-stone,硬石头,19,1000,100.0,,"绝对不会裂开的石头。
携带后，岩石属性的
招式威力就会提高。"
216,miracle-seed,奇迹种子,19,1000,30.0,,"孕育生命的种子。
携带后，草属性的
招式威力就会提高。"
217,black-glasses,黑色眼镜,19,1000,30.0,,"看上去很奇怪的眼镜。
携带后，恶属性的
招式威力就会提高。"
218,black-belt,黑带,19,1000,30.0,,"能振作精神的带子。
携带后，格斗属性的
招式威力就会提高。"
219,magnet,磁铁,19,1000,30.0,,"强力的磁铁。
携带后，电属性的
招式威力就会提高。"
220,mystic-water,神秘水滴,19,1000,30.0,,"水滴形状的宝石。
携带后，水属性的
招式威力就会提高。"
221,sharp-beak,锐利鸟嘴,19,1000,50.0,,"又长又尖的鸟嘴。
携带后，飞行属性的
招式威力就会提高。"
222,poison-barb,毒针,19,1000,70.0,6.0,"有毒的小针。
携带后，毒属性的
招式威力就会提高。"
223,never-melt-ice,不融冰,19,1000,30.0,,"能隔绝热量的冰。
携带后，冰属性的
招式威力就会提高。"
224,spell-tag,诅咒之符,19,1000,30.0,,"古怪可怕的咒符。
携带后，幽灵属性的
招式威力就会提高。"
225,twisted-spoon,弯曲的汤匙,19,1000,30.0,,"注入了念力的汤匙。
携带后，超能力属性的
招式威力就会提高。"
226,charcoal,木炭,19,1000,30.0,,"焚烧用的燃料。
携带后，火属性的
招式威力就会提高。"
227,dragon-fang,龙之牙,19,1000,70.0,,"坚硬锐利的牙齿。
携带后，龙属性的
招式威力就会提高。"
228,silk-scarf,丝绸围巾,19,1000,10.0,,"手感不错的围巾。
携带后，一般属性的
招式威力就会提高。"
229,up-grade,升级数据,10,2000,30.0,,"内部储存了各种信息的透明机器。
西尔佛公司制造。"
230,shell-bell,贝壳之铃,12,4000,30.0,,"当携带它的宝可梦
攻击对手并造成伤害时，
能回复少量ＨＰ。"
231,sea-incense,海潮薰香,19,2000,10.0,,"有着神奇香气的薰香。
携带后，水属性的
招式威力就会提高。"
232,lax-incense,悠闲薰香,12,5000,10.0,,"携带后，薰香的
神奇香气会迷惑对手，
其招式会变得不容易命中。"
233,lucky-punch,吉利拳,18,1000,40.0,,"能带来幸运的拳套。
让吉利蛋携带后，
招式会变得容易击中要害。"
234,metal-powder,金属粉,18,1000,10.0,,"让百变怪携带后，
防御就会提高的神奇粉末。
非常细腻坚硬。"
235,thick-club,粗骨头,18,1000,90.0,,"某种坚硬的骨头。
让卡拉卡拉或嘎啦嘎啦携带后，
攻击就会提高。"
236,stick,大葱,18,1000,60.0,,"非常长且坚硬的茎。
让大葱鸭携带后，
招式会变得容易击中要害。"
