"id",location_id,pokemon_species_id,encounter_rate,min_level,max_level
"213","11","70",18.0,15,25
"214","11","71",12.0,18,28
"215","11","128",15.0,20,32
"216","11","161",20.0,8,16
"217","11","162",15.0,12,22
"218","11","190",12.0,12,24
"219","11","194",18.0,10,20
"220","11","195",15.0,12,24
"221","12","37",20.0,25,35
"222","12","38",8.0,30,40
"223","12","77",25.0,20,30
"224","12","78",15.0,25,35
"225","12","126",10.0,25,35
"226","12","136",10.0,25,35
"227","12","155",18.0,22,32
"228","12","156",12.0,28,40
"229","12","218",18.0,25,38
"230","12","240",12.0,30,42
"231","12","255",15.0,22,34
"232","12","256",10.0,28,42
"233","12","324",12.0,28,40
"234","12","390",20.0,22,34
"235","12","391",12.0,28,42
"236","12","467",5.0,35,48
"237","12","513",15.0,25,38
"238","12","514",12.0,28,42
"239","12","515",18.0,24,36
"240","12","516",10.0,28,42
"241","13","46",20.0,6,14
"242","13","48",18.0,6,14
"243","13","49",8.0,15,25
"244","13","69",25.0,4,10
"245","13","70",18.0,6,14
"246","13","71",12.0,8,18
"247","13","123",20.0,8,18
"248","13","127",10.0,10,22
"249","13","193",20.0,6,14
"250","13","265",25.0,4,10
"251","13","266",20.0,5,12
"252","13","267",15.0,8,18
"253","13","268",12.0,8,18
"254","13","283",10.0,10,20
"255","13","290",15.0,8,18
"256","13","415",18.0,8,18
"257","13","416",8.0,15,28
"258","13","540",20.0,6,14
"259","13","541",15.0,10,20
"260","13","542",10.0,15,25
"261","14","19",25.0,8,15
"262","14","20",15.0,12,20
"263","14","161",20.0,6,14
"264","14","162",20.0,8,18
"265","14","190",15.0,10,22
"266","14","194",18.0,8,18
"267","14","195",15.0,10,22
"268","14","263",20.0,8,18
"269","14","264",15.0,15,28
"270","14","300",20.0,10,20
"271","14","301",10.0,18,30
"272","14","316",18.0,8,18
"273","14","317",12.0,15,28
"274","14","427",15.0,12,24
"275","14","428",10.0,18,30
"276","14","506",22.0,6,14
"277","14","507",18.0,10,22
"278","14","508",12.0,18,30
"279","14","551",20.0,12,24
"280","14","552",15.0,15,28
"281","15","144",0.5,65,75
"282","15","145",0.5,65,75
"283","15","146",0.5,65,75
"284","15","150",0.3,70,80
"285","15","149",1.0,60,70
"286","15","143",1.2,55,65
"287","15","151",0.3,70,80
"288","15","249",0.4,65,75
"289","15","250",0.4,65,75
"290","15","251",0.5,60,70
"291","15","377",0.4,65,75
"292","15","378",0.4,65,75
"293","15","379",0.4,65,75
"294","15","380",0.2,70,80
"295","15","381",0.2,70,80
"296","15","382",0.1,75,85
"297","15","383",0.1,75,85
"298","15","384",0.05,80,90
"299","15","480",0.3,65,75
"300","15","481",0.3,65,75
"301","16","74",20.0,12,18
"302","16","75",15.0,15,22
"303","16","76",10.0,18,28
"304","16","95",25.0,18,28
"305","16","207",8.0,20,30
"306","16","213",15.0,20,32
"307","16","304",12.0,22,32
"308","16","305",8.0,25,35
"309","16","306",5.0,30,42
"310","16","436",10.0,18,28
"311","16","437",6.0,25,35
"312","16","443",15.0,20,32
"313","16","444",10.0,25,38
"314","16","445",5.0,32,45
"315","16","524",18.0,15,25
"316","16","525",12.0,18,30
"317","16","526",8.0,25,38
"318","16","557",20.0,20,32
"319","16","558",15.0,25,38
"320","16","568",10.0,22,34
"321","17","54",25.0,5,12
"322","17","55",15.0,15,25
"323","17","72",15.0,6,14
"324","17","73",10.0,12,22
"325","17","90",20.0,8,18
"326","17","91",8.0,22,34
"327","17","118",20.0,6,16
"328","17","119",18.0,12,24
"329","17","120",15.0,15,25
"330","17","121",5.0,28,40
"331","17","130",5.0,35,45
"332","17","131",3.0,40,50
"333","17","170",22.0,8,18
"334","17","171",12.0,15,28
"335","17","211",12.0,18,30
"336","17","222",18.0,15,28
"337","17","223",25.0,6,16
"338","17","224",10.0,18,30
"339","17","318",20.0,10,22
"340","17","319",8.0,18,32
"341","18","86",20.0,40,50
"342","18","87",15.0,45,55
"343","18","225",18.0,42,52
"344","18","131",5.0,50,60
"345","18","215",10.0,45,55
"346","18","361",15.0,42,54
"347","18","362",12.0,48,60
"348","18","459",18.0,45,55
"349","18","460",10.0,50,62
"350","18","473",8.0,55,67
"351","18","582",20.0,42,52
"352","18","583",15.0,46,58
"353","18","584",8.0,52,64
"354","18","613",22.0,40,52
"355","18","614",18.0,44,58
"356","18","615",12.0,48,62
"357","18","698",5.0,55,67
"358","18","699",3.0,60,72
"359","18","712",15.0,48,60
"360","18","713",10.0,52,66
"361","19","50",25.0,20,30
"362","19","51",15.0,25,35
"363","19","104",20.0,22,32
"364","19","105",10.0,28,38
"365","19","228",18.0,25,35
"366","19","229",12.0,32,44
"367","19","261",20.0,22,34
"368","19","262",12.0,30,42
"369","19","328",15.0,25,37
"370","19","329",8.0,30,44
"371","19","330",5.0,35,49
"372","19","449",18.0,28,40
"373","19","450",10.0,35,48
"374","19","504",22.0,20,34
"375","19","505",15.0,26,40
"376","19","551",20.0,24,38
"377","19","552",15.0,28,42
"378","19","553",10.0,32,46
"379","19","631",12.0,30,44
"380","19","632",8.0,35,49
"381","20","100",20.0,15,25
"382","20","101",10.0,20,30
"383","20","81",25.0,18,28
"384","20","82",15.0,22,32
"385","20","462",8.0,35,47
"386","20","403",20.0,18,30
"387","20","404",15.0,22,34
"388","20","405",10.0,28,40
"389","20","417",22.0,20,32
"390","20","418",18.0,22,36
"391","20","419",15.0,24,38
"392","20","446",10.0,25,39
"393","20","447",8.0,30,44
"394","20","448",5.0,35,49
"395","20","599",20.0,20,32
"396","20","600",15.0,24,38
"397","20","601",12.0,26,42
"398","20","603",18.0,22,36
"399","20","604",15.0,26,40
"400","20","605",10.0,28,44
