"id",name_en,name_zh,"generation_id","base_hp","base_attack","base_defense","base_sp_attack","base_sp_defense","base_speed","height","weight","base_experience","gender_rate","capture_rate","growth_rate_id","description","order"
"33","nidorino","尼多力诺","1","61","72","57","55","55","65","0.9","19.5","128","0","120","4","神经敏感，动不动就打架。
体内的肾上腺素一增加，
毒素的浓度也会提高。","33"
"34","nidoking","尼多王","1","81","102","77","85","75","85","1.4","62.0","227","0","45","4","以力量为傲的宝可梦。
用自己的粗尾巴和连钻石
都能击碎的角，豪爽地战斗。","34"
"35","clefairy","皮皮","1","70","45","48","60","65","35","0.6","7.5","113","6","150","3","因可爱的举止和叫声
而广受欢迎的宝可梦。
不过很少被人发现。","35"
"36","clefable","皮可西","1","95","70","73","95","90","60","1.3","40.0","217","6","25","3","听觉灵敏，连１公里以外
针落地的声音都听得见，
因此平时会待在安静的地方。","36"
"37","vulpix","六尾","1","38","41","40","50","65","65","0.6","9.9","60","6","190","2","随着身体的成长，
６根尾巴的毛发也会变得更漂亮。
紧紧抱着它时能感到微微的温暖。","37"
"38","ninetales","九尾","1","73","76","75","81","100","100","1.1","19.9","177","6","75","2","聪明伶俐，但爱记仇。
据说如果敢乱抓它的尾巴，
它就会缠着你作祟１０００年。","38"
"39","jigglypuff","胖丁","1","115","45","20","45","25","20","0.5","5.5","95","6","170","3","能够随意改变声音的波长，
唱出听了绝对会
犯困的神奇旋律。","39"
"40","wigglytuff","胖可丁","1","140","70","45","85","50","45","1.0","12.0","196","6","50","3","以自己细腻的体毛为傲。
尤其是额头上的卷毛，
更是有着天堂般的极致触感。","40"
"41","zubat","超音蝠","1","40","45","35","30","40","55","0.8","7.5","49","4","255","2","栖息在晒不到阳光的洞窟里。
到了早晨便会和同伴聚集起来，
一边互相取暖一边睡觉。","41"
"42","golbat","大嘴蝠","1","75","80","70","65","75","90","1.6","55.0","159","4","90","2","用小而灵活的脚走路。
会悄悄接近正在睡觉的猎物，
用尖牙咬住对方吸取血液。","42"
"43","oddish","走路草","1","45","50","55","75","65","30","0.5","5.4","64","4","255","4","白天会为躲避太阳
而钻入凉爽的地下。
会通过沐浴月光成长。","43"
"44","gloom","臭臭花","1","60","65","70","85","75","40","0.8","8.6","138","4","120","4","看似口水的东西其实是
甜甜的蜜。非常黏稠，
只要碰到就会一直黏住。","44"
"45","vileplume","霸王花","1","75","80","85","110","90","50","1.2","18.6","221","4","45","4","虽然花瓣越大，
就能放出越多的花粉，
但这样脑袋会变沉，容易疲倦。","45"
"46","paras","派拉斯","1","35","70","55","45","55","25","0.3","5.4","57","4","190","2","它会通过挖洞来从树根里
吸取营养，但大部分营养
都会被背上的蘑菇抢走。","46"
"47","parasect","派拉斯特","1","60","95","80","60","80","30","1.0","29.5","142","4","75","2","由于虫子的精华不断被吸走，
在思考的似乎已经不是虫子，
而是背上的蘑菇了。","47"
"48","venonat","毛球","1","60","55","50","40","55","45","1.0","30.0","61","4","190","2","在明亮的地方你便能发现它
具有雷达功能的大眼其实是
由许多个小眼睛聚集而成的。","48"
"49","venomoth","摩鲁蛾","1","70","65","60","90","75","90","1.5","12.5","158","4","75","2","如果不小心把它翅膀上的鳞粉
沾到了身上，那不但会很难去除，
更糟的是毒素也会从那里渗入。","49"
"50","diglett","地鼠","1","10","55","25","35","45","95","0.2","0.8","53","4","255","2","在地下较浅的地方移动。
被它挖掘过的地面会鼓起来，
所以非常容易发现。","50"
"51","dugtrio","三地鼠","1","35","100","50","50","70","120","0.7","33.3","149","4","50","2","三胞胎的地鼠，拥有能够挖掘到
地下１００公里深的潜力。没人知道
它在地下的部分究竟长成什么样子。","51"
"52","meowth","喵喵","1","40","45","35","40","40","90","0.4","4.2","58","4","255","2","为了不弄脏额头上的
金币，会常常洗脸。
和伽勒尔的喵喵关系不好。","52"
"53","persian","猫老大","1","65","70","60","65","65","115","1.0","32.0","154","4","90","2","拥有优雅高贵的身姿。
与野蛮的喵头目性格不合，
互相看不起对方。","53"
"54","psyduck","可达鸭","1","50","52","48","65","50","55","0.8","19.6","64","4","190","2","头痛会随着压力逐渐累积
而不断加剧。会用强大的
念力击垮周围的一切。","54"
"55","golduck","哥达鸭","1","80","82","78","95","80","85","1.7","76.6","175","4","75","2","古老的故事中说，
它会把污染河水的
人类拖进水中带走。","55"
"56","mankey","猴怪","1","40","80","35","35","45","70","0.5","28.0","61","4","190","2","身体轻盈，在树上生活。
常因鸡毛蒜皮的小事发火
而飞扑到周围的东西上。","56"
"57","primeape","火暴猴","1","65","105","60","60","70","95","1.0","32.0","159","4","75","2","只有在谁都不在身边的
时候才不生气，但几乎
没有人目击过这种情况。","57"
"58","growlithe","卡蒂狗","1","55","70","45","70","50","60","0.7","19.0","70","2","190","1","性格忠诚。
为了保护自己的训练家，
会拼命地朝对手狂吠。","58"
"59","arcanine","风速狗","1","90","110","80","100","80","95","1.9","155.0","194","2","75","1","从古时候起就是俘获了
众多人心的美丽宝可梦。
能像飞一样轻巧地奔跑。","59"
"60","poliwag","蚊香蝌蚪","1","40","50","40","40","40","90","0.6","12.4","60","4","255","4","在水流湍急的河里，
会把厚厚的嘴唇像吸盘那样
紧紧吸在岩石上避免被冲走。","60"
"61","poliwhirl","蚊香君","1","65","65","65","50","50","90","1.0","20.0","135","4","120","4","流出的汗是黏滑的粘液状。
即使被敌人捉住，
也能哧溜一下滑走逃脱。","61"
"62","poliwrath","蚊香泳士","1","90","95","95","70","90","70","1.3","54.0","230","4","45","4","除了游泳还擅长格斗技。
能用经过锻炼的手臂
使出豪迈强力的拳击。","62"
"63","abra","凯西","1","25","20","15","105","55","90","0.9","19.5","62","2","200","4","能够在睡梦中使出瞬间移动。
据说它睡得越熟，就能
移动到越遥远的地方。","63"
"64","kadabra","勇基拉","1","40","35","30","120","70","105","1.3","56.5","140","2","100","4","念力的威力大得惊人。
会把精神力量储存在额头的
星星里，以备进化之需。","64"
"65","alakazam","胡地","1","55","50","45","135","95","120","1.5","48.0","225","2","50","4","会操纵强大的超能力。
据说它双手握着的汤勺
就是用那力量制造出来的。","65"
"66","machop","腕力","1","70","80","50","35","35","35","0.8","19.5","61","2","180","4","时时刻刻都充满力量。
由于体力过剩而去举起岩石
消磨时间，也因此变得更强。","66"
"67","machoke","豪力","1","80","100","70","50","60","45","1.5","70.5","142","2","90","4","有着不会疲劳的强韧肉体。
会去帮助人类完成例如
搬运沉重行李之类的工作。","67"
"68","machamp","怪力","1","90","130","80","65","85","55","1.6","130.0","227","2","45","4","４只手臂在思考之前
就会反射性地行动，
使出多发拳击。","68"
"69","bellsprout","喇叭芽","1","50","75","35","70","30","40","0.7","4.0","60","4","255","4","喜欢温度高，有一定
湿度的地方。它会用
身上的藤蔓抓小虫来吃。","69"
"70","weepinbell","口呆花","1","65","90","50","85","45","55","1.0","6.4","137","4","120","4","它在肚子饿的时候会
吞掉周围会动的东西，
分泌溶解液让其致命。","70"
"71","victreebel","大食花","1","80","105","65","100","70","70","1.7","15.5","221","4","45","4","用花蜜的香味引诱猎物。
据说被它吞入嘴里的东西，
只要1天就会溶解到连骨头都不剩。","71"
"72","tentacool","玛瑙水母","1","40","40","35","50","100","70","0.9","45.5","67","4","190","1","身体的大部分由水组成。
在海中，会和海水混为一体，
非常难以发现。","72"
"73","tentacruel","毒刺水母","1","80","70","65","80","120","100","1.6","55.0","180","4","60","1","８０根触手伸缩自如。
会像撒网那样伸开触手
抓住猎物并刺入毒针。","73"
"74","geodude","小拳石","1","40","80","100","30","30","20","0.4","20.0","60","4","255","4","大多栖息于山路。由于
不留神踩到它会使它
大发雷霆，得多加小心。","74"
"75","graveler","隆隆石","1","55","95","115","45","45","35","1.0","105.0","137","4","120","4","常在山路上滚来滚去。
滚动时从来不关心
前面的路上都有什么。","75"
"76","golem","隆隆岩","1","80","120","130","55","65","45","1.4","300.0","223","4","45","4","刚蜕皮时浑身都白白的
非常柔软，但是接触到
空气之后会迅速变坚硬。","76"
"77","ponyta","小火马","1","50","85","55","65","65","90","1.0","30.0","82","4","190","2","得到了小火马认可的人，
在触摸它燃烧着的鬃毛时
不会觉得烫手，真是不可思议。","77"
"78","rapidash","烈焰马","1","65","100","70","80","80","105","1.7","95.0","175","4","60","2","奔跑速度最快的烈焰马
会成为首领，决定族群
前往的地点和奔跑速度。","78"
"79","slowpoke","呆呆兽","1","90","65","65","40","40","15","1.2","36.0","63","4","190","2","把尾巴泡在水里后会有甜味渗出，
因此它会以尾巴为诱饵
吸引宝可梦并将其钓起。","79"
"80","slowbro","呆壳兽","1","95","75","110","100","80","30","1.6","78.5","172","4","75","2","因为被大舌贝咬住而受到的刺激使它
变得能够两足直立行走。当大舌贝
离开后，它似乎就会变回呆呆兽。","80"
"81","magnemite","小磁怪","1","25","35","70","95","55","45","0.3","6.0","65","-1","190","2","靠吃电来维持生命。
会一边从左右两边的组件
放射电磁波一边在空中飞行。","81"
"82","magneton","三合一磁怪","1","50","60","95","120","70","70","1.0","60.0","163","-1","60","2","会不断释放很强的的磁力。
在三合一磁怪接近时，大多数
电脑都会发生异常情况。","82"
"83","farfetchd","大葱鸭","1","52","90","55","58","62","60","0.8","15.0","132","4","45","2","用植物的茎来战斗。
茎的挥舞方式存在着
好几种不同的流派。","83"
"84","doduo","嘟嘟","1","35","85","45","35","35","75","1.4","39.2","62","4","190","2","羽毛较短所以不擅长飞行，
但是拥有发达的双脚，
能够以很快的速度奔跑。","84"
"85","dodrio","嘟嘟利","1","60","110","70","60","60","110","1.8","85.2","165","4","45","2","由嘟嘟的某个头分裂
出的变种。以60千米的
时速在草原上奔跑。","85"
"86","seel","小海狮","1","65","45","55","45","70","45","1.1","90.0","65","4","190","2","喜欢天寒地冻的地方，
就算零下10度
也能愉快地游泳。","86"
"87","dewgong","白海狮","1","90","70","80","70","95","70","1.7","120.0","166","4","75","2","全身像雪一样白。十分耐寒，
即使是在有浮冰的大海里
也能很精神地游来游去。","87"
"88","grimer","臭泥","1","80","80","50","40","50","25","0.9","30.0","65","4","190","2","它由囤积的淤泥而形成。
臭到让人无法碰触，凡是
它走过的地方都寸草不生。","88"
"89","muk","臭臭泥","1","105","105","75","65","100","50","1.2","30.0","175","4","75","2","非常难闻！气味臭到让人
窒息，但由于鼻子的退化，
它自己完全闻不到味道。","89"
"90","shellder","大舌贝","1","30","65","100","45","25","40","0.3","4.0","61","4","190","1","坚硬的壳能反弹任何攻击。
壳打开时，如果里面的部分
受到攻击，就会变得很脆弱。","90"
"91","cloyster","刺甲贝","1","50","95","180","85","45","70","1.5","132.5","184","4","60","1","一旦它把壳闭上，
无论是拥有什么样怪力的人
都无法将其打开。","91"
"92","gastly","鬼斯","1","30","35","30","100","35","80","1.3","0.1","62","4","190","4","能用稀薄气体状的
身体潜入任何地方，
但只要起风就会被吹跑。","92"
"93","haunter","鬼斯通","1","45","50","45","115","55","95","1.6","0.1","142","4","90","4","如果黑暗中空空如也，
但你却感觉被什么盯上了，
那么鬼斯通一定就在那里。","93"
"94","gengar","耿鬼","1","60","65","60","130","75","110","1.5","40.5","225","4","45","4","据说它会为了夺取
山中遇难者的生命
而从黑暗中出现。","94"
"95","onix","大岩蛇","1","35","45","160","30","45","70","8.8","210.0","77","4","45","2","弯曲扭动巨大结实的身体，
以时速８０公里的
猛烈劲头向前挖进。","95"
"96","drowzee","催眠貘","1","60","48","45","43","90","42","1.0","32.4","66","4","190","2","如果你每晚与它一起睡觉，
它偶尔会让你梦见
它以前吃过的梦。","96"
"97","hypno","引梦貘人","1","85","73","70","73","115","67","1.6","75.6","169","4","75","2","无意中遇到它的时候，如果
不小心和它对上视线会很危险。
它手里拿着的钟摆会让人睡着。","97"
"98","krabby","大钳蟹","1","30","105","90","25","25","50","0.4","6.5","65","4","225","2","如果危险逼近，
就会从嘴里吐出泡沫包裹全身，
让身体看起来更大。","98"
"99","kingler","巨钳蟹","1","55","130","115","50","50","75","1.3","60.0","166","4","60","2","巨大的钳子破坏力十足，
但是因为太过沉重，
不战斗的时候就很碍事。","99"
"100","voltorb","霹雳电球","1","40","30","50","55","55","100","0.5","10.4","66","-1","190","2","据说它与精灵球相似的外形
其实是它的保护色，但它
很容易自爆这一点也出人意料。","100"
"101","electrode","顽皮雷弹","1","60","50","70","80","80","150","1.2","66.6","172","-1","60","2","只要受到一点撞击，
就会由于体内的
电能溢出导致爆炸。","101"
"102","exeggcute","蛋蛋","1","60","40","80","60","45","40","0.4","2.5","65","4","90","1","６只不在一起就不安心。
哪怕只是少了１只，
都会马上想要逃跑。","102"
"103","exeggutor","椰蛋树","1","95","95","85","125","75","55","2.0","120.0","186","4","45","1","３个脑袋联合起来
能使出强大的精神力量。
天气变阴时动作会变得迟钝。","103"
"104","cubone","卡拉卡拉","1","50","50","95","40","50","35","0.4","6.5","64","4","190","2","它头上戴着死去母亲的头骨。
虽然也会因悲伤的梦境而哭泣，
但每流一次泪，都会变得更加坚强。","104"
"105","marowak","嘎啦嘎啦","1","60","80","110","50","80","45","1.0","45.0","149","4","75","2","进化后，与原本戴在头上的
母亲头骨完全融为一体，
而且性格也变得十分凶暴。","105"
"106","hitmonlee","飞腿郎","1","50","120","53","35","110","87","1.5","49.8","159","0","45","2","腿能自由地伸缩，
即使离得很远，
也能把对手踢飞。","106"
"107","hitmonchan","快拳郎","1","50","105","79","35","110","76","1.4","50.2","159","0","45","2","打出的拳击甚至能劈开空气。
但攻击３分钟后，
它似乎就会想休息一下。","107"
"108","lickitung","大舌头","1","90","55","75","60","75","30","1.2","65.5","77","4","45","2","主要以虫宝可梦为食。
会用长长的舌头舔对手，
等对手麻痹后将其整个吞下。","108"
"109","koffing","瓦斯弹","1","40","65","95","60","45","35","0.6","1.0","68","4","190","2","污浊的空气是它的美味大餐。
据说在昔日的伽勒尔地区
曾经存在着更多的瓦斯弹。","109"
"110","weezing","双弹瓦斯","1","65","90","120","85","70","60","1.2","9.5","172","4","60","2","虽然吸入空气的力量
稍弱于伽勒尔的双弹瓦斯，
制造出的毒素却更加强力。","110"
"111","rhyhorn","独角犀牛","1","80","85","95","30","30","25","1.0","115.0","69","4","120","1","脑子里只能记住一件事。
一旦开始猛冲，不管理由是什么
都会很快感到无所谓而忘掉。","111"
"112","rhydon","钻角犀兽","1","105","130","120","45","45","40","1.9","120.0","170","4","60","1","全身被铠甲般的皮肤保护着。
甚至能在２０００度的熔岩里生存。","112"
"113","chansey","吉利蛋","1","250","5","5","35","105","50","1.1","34.6","395","8","30","3","原本动作迟缓。
为了保护蛋不被抢走，
逃跑的速度才变快了。","113"
"114","tangela","蔓藤怪","1","65","55","115","100","40","60","1.0","35.0","87","4","45","2","藤蔓有着独特的香气。
在伽勒尔的部分地区
被当做香草使用。","114"
"115","kangaskhan","袋兽","1","105","95","80","40","80","90","2.2","80.0","172","8","45","2","据记载，曾有没孩子的
袋兽将遇难人类的
小孩抚养长大。","115"
"116","horsea","墨海马","1","30","40","70","70","25","60","0.4","8.0","59","4","225","2","会像跳舞一样在水中游动
以制造漩涡。作为娱乐，
会和伙伴比拼谁的漩涡更大。","116"
"117","seadra","海刺龙","1","55","65","95","95","45","85","1.2","25.0","154","4","75","2","嘴巴虽然细，吸引力却很强。
就算是比嘴巴还大的猎物，
也能一瞬间吸进嘴里吃掉。","117"
"118","goldeen","角金鱼","1","45","67","60","35","50","63","0.6","15.0","64","4","225","2","背鳍和尾鳍像肌肉
那样发达。能够以
５节的速度在水中游泳。","118"
"119","seaking","金鱼王","1","80","92","65","65","80","68","1.3","39.0","158","4","60","2","金鱼王之所以会用角挖穿
河底的岩石来筑巢，是为了
防止产下的卵被水流冲走。","119"
"120","staryu","海星星","1","30","45","55","70","55","85","0.8","34.5","68","-1","225","1","虽然会遭到鱼宝可梦的啄食，
但身体即使被咬掉一块也能
马上再生，所以完全不在意。","120"
"121","starmie","宝石海星","1","60","75","85","100","85","115","1.1","80.0","182","-1","60","1","会高速旋转着身体
一边游泳一边吸收
微小的浮游生物。","121"
"122","mr-mime","魔墙人偶","1","40","45","65","100","120","90","1.3","54.5","161","4","45","2","擅长表演默剧。
用手指放出的波动制造墙壁，
保护自己免于大多数攻击。","122"
"123","scyther","飞天螳螂","1","70","110","80","55","80","105","1.5","56.0","100","4","45","2","如果在森林中发现某个地方
有大量树木被砍倒，就说明
那里是飞天螳螂的领地。","123"
"124","jynx","迷唇姐","1","65","50","35","115","95","95","1.4","40.6","159","8","45","2","伽勒尔的迷唇姐外表靓丽，
拥有纤细叫声的也不在少数，
甚至有为其着迷的粉丝。","124"
"125","electabuzz","电击兽","1","65","83","57","95","85","105","1.1","30.0","172","2","45","2","暴风雨来临时，它们就会
集结在高高的大树周围，
耐心地等待落雷。","125"
"126","magmar","鸭嘴火兽","1","65","95","57","100","85","93","1.3","44.5","173","2","45","2","全身时刻都在燃烧。
大家认为它是引发火灾的
原因之一，非常惧怕它。","126"
"127","pinsir","凯罗斯","1","65","125","100","55","70","85","1.5","55.0","175","4","45","1","用角夹住猎物后，
不是直接把对方切成两半，
就是强行把对方扔飞。","127"
"128","tauros","肯泰罗","1","75","100","95","40","70","110","1.4","88.4","172","0","45","1","栖息在伽勒尔的肯泰罗
性格暴躁，决不允许
人类骑在自己的背上。","128"
"129","magikarp","鲤鱼王","1","20","10","55","15","20","80","0.9","10.0","40","4","255","1","又弱又可怜的宝可梦。
在水流比较快的地方
只能任凭自己被水冲走。","129"
"130","gyarados","暴鲤龙","1","95","125","79","60","100","81","6.5","235.0","189","4","45","1","就算是在狂风暴雨中，
只要发狂的暴鲤龙出现，
一切都会被它烧毁殆尽。","130"
"131","lapras","拉普拉斯","1","130","85","80","85","95","60","2.5","220.0","187","4","45","1","十分耐寒，不畏冰海。
皮肤滑滑的，
摸上去会有点凉。","131"
"132","ditto","百变怪","1","48","48","48","48","48","48","0.3","4.0","101","-1","35","2","当两只百变怪相遇的时候，
为了能变成和对方相同的样子，
它们动起来会比平常更加剧烈。","132"
"133","eevee","伊布","1","55","55","50","45","65","55","0.3","6.5","65","1","45","2","由于不稳定的遗传基因，
蕴含着各种各样进化
可能性的特殊宝可梦。","133"
"134","vaporeon","水伊布","1","130","65","60","110","95","65","1.0","29.0","184","1","45","2","身体细胞的结构与水分子相似。
它能和水融为一体，
让别人无法看见它。","134"
"135","jolteon","雷伊布","1","65","65","60","110","95","130","0.8","24.5","184","1","45","2","能够吸入空气中的负离子，
有时会吐出大约有
１００００伏特的高压电。","135"
"136","flareon","火伊布","1","65","130","60","95","110","65","0.9","25.0","184","1","45","2","会将吸入的空气的一部分
传送到自己体内的火囊里，
制造出１７００度的火焰。","136"
"137","porygon","多边兽","1","65","60","70","85","75","40","0.8","36.5","79","-1","45","2","近年来十分活跃于
电脑空间。到处检查
有没有可疑的数据。","137"
"138","omanyte","菊石兽","1","35","40","100","90","55","35","0.4","7.5","71","1","45","2","已经灭绝的古代宝可梦。
依靠１０只脚来划水，
在水中轻盈地游曳。","138"
"139","omastar","多刺菊石兽","1","70","60","125","115","70","55","1.0","35.0","173","1","45","2","拥有足以咬碎岩石的锋利牙齿，
但是能够袭击的猎物仅限
触手可以伸展的范围之内。","139"
"140","kabuto","化石盔","1","30","80","90","55","45","55","0.5","11.5","71","1","45","2","虽然存在已经灭绝的说法，
但据说在一部分地区
还是经常能见到它的身影。","140"
"141","kabutops","镰刀盔","1","60","115","105","65","70","80","1.3","40.5","173","1","45","2","灭绝的原因尚不明确。
曾经栖息在温暖的大海，
是性格残暴的古代宝可梦。","141"
"142","aerodactyl","化石翼龙","1","80","105","65","60","75","130","1.8","59.0","180","1","45","1","长着锯子般的牙齿。
甚至连钢属性宝可梦的皮肤
都会被它的牙齿撕成碎片。","142"
"143","snorlax","卡比兽","1","160","110","65","65","110","30","2.1","460.0","189","1","25","1","拥有一个结实的胃，
即使吃了发霉腐烂的东西，
也完全不会吃坏肚子。","143"
"144","articuno","急冻鸟","1","90","85","100","95","125","85","1.7","55.4","261","-1","3","1","拥有能够自由操纵冰
的能力。据说它栖息在
永久冻土的雪山。","144"
"145","zapdos","闪电鸟","1","90","90","85","125","90","100","1.6","52.6","261","-1","3","1","传说的鸟宝可梦。
据说只要它一摩擦翅膀，
就会立刻发生落雷。","145"
"146","moltres","火焰鸟","1","90","100","90","125","85","90","2.0","60.0","261","-1","3","1","相传它会用燃烧着的
美丽翅膀照亮山道，
救助在此遇险的人。","146"
"147","dratini","迷你龙","1","41","64","45","50","50","50","1.8","3.3","60","4","45","1","长久以来被认为只存在于
幻想之中。额头小小的突起
是正在发育的角。","147"
"148","dragonair","哈克龙","1","61","84","65","70","70","70","4.0","16.5","147","4","45","1","把力量集中在尾巴的
珠子上操纵天气。
散发气场的样子非常神秘。","148"
"149","dragonite","快龙","1","91","134","95","100","100","80","2.2","210.0","270","4","45","1","被称为大海的化身。
很多船都会把快龙的
雕像设置在船头。","149"
"150","mewtwo","超梦","1","106","110","90","154","90","130","2.0","122.0","306","-1","3","1","超梦的基因几乎和梦幻
完全一样，但是大小和
性格却迥异得让人吃惊。","150"
"151","mew","梦幻","1","100","100","100","100","100","100","0.4","4.0","270","-1","45","4","用显微镜可以看到
它身上极短极细
且密集的体毛。","151"
"152","chikorita","菊草叶","2","45","49","65","49","65","45","0.9","6.4","64","1","45","4","","152"
"153","bayleef","月桂叶","2","60","62","80","63","80","60","1.2","15.8","142","1","45","4","","153"
"154","meganium","大竺葵","2","80","82","100","83","100","80","1.8","100.5","236","1","45","4","","154"
"155","cyndaquil","火球鼠","2","39","52","43","60","50","65","0.5","7.9","62","1","45","4","","155"
"156","quilava","火岩鼠","2","58","64","58","80","65","80","0.9","19.0","142","1","45","4","","156"
"157","typhlosion","火暴兽","2","78","84","78","109","85","100","1.7","79.5","240","1","45","4","","157"
"158","totodile","小锯鳄","2","50","65","64","44","48","43","0.6","9.5","63","1","45","4","","158"
"159","croconaw","蓝鳄","2","65","80","80","59","63","58","1.1","25.0","142","1","45","4","","159"
"160","feraligatr","大力鳄","2","85","105","100","79","83","78","2.3","88.8","239","1","45","4","","160"
